N,ph,sand,silt,cec,bulk density,clay,soc,fertility
220,7.03,73.14425,29.874214,31.033056,1.6275167,33.758392,0.68,0
195,7.58,73.54944,29.874214,31.126032,1.6275167,33.489933,0.88,0
188,7.32,73.87358,29.790356,31.033056,1.6275167,33.221474,0.59,0
226,7.43,72.90114,29.203354,30.754131,1.6315436,34.496643,0.88,0
213,7.8,72.8201,29.538784,29.545456,1.6315436,34.295303,0.2,0
201,7.01,72.41491,29.790356,29.173553,1.6315436,34.362415,0.68,0
207,7.51,72.57698,29.203354,29.452478,1.6275167,34.7651,0.29,0
220,7.02,72.65802,29.622643,28.894629,1.6275167,34.362415,0.24,0
226,7.05,72.65802,29.287212,29.080578,1.6275167,34.630875,0.41,0
238,7.06,72.25284,28.784067,28.801651,1.6315436,35.302013,0.7,0
207,7.1,72.25284,28.784067,28.801651,1.6275167,35.369125,0.51,0
182,7.4,72.00972,30.712788,28.987604,1.6315436,34.026844,0.51,0
232,7.5,72.00972,31.04822,29.080578,1.6315436,33.758392,0.41,0
195,7.34,71.28039,30.712788,28.801651,1.6315436,34.630875,0.46,0
207,7.29,71.03728,31.04822,28.894629,1.6315436,34.56376,0.62,0
238,7.28,71.36143,30.125788,30.103306,1.6355705,35.033558,0.27,0
201,7.25,71.92869,29.622643,29.080578,1.6395974,35.033558,0.41,0
